Title,Rating
1. Thor: Love and Thunder,6.9
2. Avengers: Endgame,6.9
3. Fast & Furious,6.9
4. Violent Night,6.9
5. Fast & Furious 7,6.9
6. Jurassic Park,6.9
7. John Wick: Chapter 2,6.9
8. Plane,6.9
9. No Time to Die,6.9
10. The Suicide Squad,6.9
11. Blade Runner 2049,6.9
12. Fast Five,6.9
13. The Lord of the Rings: The Fellowship of the Ring,6.9
14. The Fate of the Furious,6.9
15. The Hunger Games,6.9
16. Mad Max: Fury Road,6.9
17. Black Panther: Wakanda Forever,6.9
18. The Fast and the Furious: Tokyo Drift,6.9
19. Transformers,6.9
20. The Creator,6.9
21. The Hunger Games: The Ballad of Songbirds and Snakes,6.9
22. 2 Fast 2 Furious,6.9
23. Meg 2: The Trench,6.9
24. The Gentlemen,6.9
25. Kingsman: The Secret Service,6.9
26. Indiana Jones and the Last Crusade,6.9
27. The Old Way,6.9
28. Deadpool 3,6.9
29. Indiana Jones and the Temple of Doom,6.9
30. Shang-Chi and the Legend of the Ten Rings,6.9
31. Bholaa,6.9
32. The Matrix,6.9
33. Im Westen nichts Neues,6.9
34. Léon,6.9
35. Tenet,6.9
36. The Unbearable Weight of Massive Talent,6.9
37. Furious 6,6.9
38. The Karate Kid,6.9
39. Gladiator,6.9
40. Star Wars,6.9
41. Black Adam,6.9
42. Nobody,6.9
43. Spider-Man: Homecoming,6.9
44. Knights of the Zodiac,6.9
45. Jurassic World Dominion,6.9
46. The Northman,6.9
47. Spider-Man,6.9
48. The Woman King,6.9
49. Avengers: Infinity War,6.9
50. The Magnificent Seven,6.9
51. Fast & Furious Presents: Hobbs & Shaw,8.4
52. The Mummy,8.4
53. The Gray Man,8.4
54. Pirates of the Caribbean: The Curse of the Black Pearl,8.4
55. Deadpool 2,8.4
"56. Ruby Gillman, Teenage Kraken",8.4
57. Avatar,8.4
58. Sound of Freedom,8.4
59. Deadpool,8.4
60. Indiana Jones and the Kingdom of the Crystal Skull,8.4
61. Ballerina,8.4
62. Blade Runner,8.4
63. The Fifth Element,8.4
64. True Lies,8.4
65. The Meg,8.4
66. The Last Kingdom: Seven Kings Must Die,8.4
67. Doctor Strange in the Multiverse of Madness,8.4
68. Gran Turismo,8.4
69. Starship Troopers,8.4
70. Extraction 2,8.4
